Song,Artist,Genre,LastPlay,Tempo,TimesPlayed,To-play,Tone,link
Exáltate,Marcos Witt,Adoración,"January 18, 2026",59,2,No,Bb,https://youtu.be/Vmt7ZfSUN6c?si=vB1k0822rcXotIOe
"La Nube de tu Presencia    ",Vino Nuevo,Alabanza,"March 15, 2026",138,3,No,B,https://www.youtube.com/watch?v=8UfidgAQ6fw
Oh Moradora (Arreglo Propio),Jaime Murrel,Alabanza,"January 25, 2026",115,1,No,C-,https://youtu.be/9d0izkup40g?si=cIfZVWYG4DMAZQa5
No Puedo Callar,En Espíritu y En Verdad,Alabanza,"April 12, 2026",127,3,No,C,https://youtu.be/iBCp3osSBUQ?si=FbNMx9-jOcp_c93a
"Que sería de mi ",Jesús Adrián Romero,Adoración,"January 25, 2026",55,2,No,G,https://youtu.be/rB92Hl2dg3c?si=hkyT3V33293GtYlG
"Necesito más de ti ",Ericson Alexander Moreno,Adoración,"January 25, 2026",54,2,No,F,https://youtu.be/gyua0wyyUpY?si=W0-1sGgFPoloYzCK
Los Muros Caerán,Miel San Marcos,Alabanza,,152,5,No,A-,https://youtu.be/PZ80mblbzss?si=snFmZ68tJGr98EPI
Bautízame,Miel San Marcos,Alabanza,"February 1, 2026",150,1,No,D-,https://youtu.be/A0_fbqzIHcU?si=cZQwU9juIh9kKN7B
"Invencible ",Miel San Marcos,Alabanza,,150,4,No,D-,https://youtu.be/atzyLPaptcw?si=D1KUmeg9LzXKhAsq
"Haz llover ",Vino Nuevo,Adoración,"May 10, 2026",65,3,No,A-,https://youtu.be/i0NjvZP-xp8?si=1wX6d0g_xNSj0XKP
"En Los Montes, En los Valles",Marcos Witt,Alabanza,"March 1, 2026",107,2,No," G",https://youtu.be/O4bQox2D_Ws?si=zjhpqcbpP2L4Cya0
"Unidos ",Miel San Marcos,Alabanza,"June 7, 2026",150,1,No,B-,https://youtu.be/ps_ZTBE7D-o?si=g3pD6VSCJETiXTMA
Vivo para Cristo,Juan Carlos Alvarado,Alabanza,"March 1, 2026",101,2,No,G,https://youtu.be/N5PiDgurOxY?si=vWlP408TjmBebPpb
"Fiesta en el Desierto ",Montesanto,Alabanza,,140,5,No,E,https://youtu.be/hk2kzCj1L6w?si=5d3US-drtCMVKj_p
"Dios imparable ",Marcos Witt,Adoración,"March 29, 2026",59,3,No,A,https://youtu.be/iOCCVPepUb8?si=BekbIuxu2HMVpOUf
Danzo en el Río,Miel San Marcos,Alabanza,,135,3,No,B-,https://youtu.be/A_41_4qgmig?si=sTS8yWMOMAK_UiY4
Llegó el Tiempo,Miel San Marcos,Alabanza,,153,2,No,A-,https://youtu.be/ZwzJV7DVo_k?si=ZVYIrytxc3MwAiwh
Remoliendo (MSM),Miel San Marcos,Alabanza,,153,2,No,C-,https://youtu.be/-Nv3c3Lm03M?si=SThrislTl7vL7R8S
Remolineando (Fenrel),Fenrel Monroy,Alabanza,,167,2,No,C-,https://youtu.be/WITnPmdJZKQ?si=xJBY9zaIfymus6Bj
Grande y Fuerte (Proezas),Miel San Marcos,Alabanza,,150,2,Yes,C-,https://youtu.be/WZC9RAk7dOI?si=ma74qgy1Kc5PNkRy
Grande y Fuerte (Dios es Real),Miel San Marcos,Alabanza,,150,3,No,A-,https://youtu.be/YOFJJquEK2k?si=-h9KZZkkBXoPM_8l
Al que está sentado en el Trono G12,Generación 12,Adoración,"February 8, 2026",68,2,No,B,https://www.youtube.com/watch?v=yGSLKbpFLAU
Te Daré lo Mejor,Jesús Adrián Romero,Alabanza,,106,3,No,E,https://youtu.be/vMiPG3vWO-A?si=YiIENjmfyJJVqs0b
"Al Que Está Sentado en el Trono",Marcos Brunet,Adoración,,71,3,No,C-,https://youtu.be/yGSLKbpFLAU?si=T8WXBVR45OiW8zNB
"Rompimiento",New Wine,Alabanza,"February 8, 2026",157,1,No,D-,https://youtu.be/JnP24Wz5ltM?si=woJEhJPccXmugqq_
"Será llena la tierra ",Marco Barrientos,Alabanza,,145,5,No,A-,https://youtu.be/iuZoHiz5Dq4?si=FFJ1p39rzTYQ3OP8
Way Maker,Priscilla Bueno,Adoración,,65,3,No,B,https://youtu.be/9TIZMohIYqQ?si=CkA4jXM6eZcENtkH
"Sube, Sube",New Wine,Alabanza,"May 10, 2026",161,3,No,C-,https://www.youtube.com/watch?v=izxfXTvv67U
"Fuego ",Billy Bunster,Alabanza,"April 12, 2026",152,3,No,A-,https://youtu.be/qwEjqenZk_s?si=cLsyEIzmUn87PIn6
Cuán grande es él,Billy Bunster,Alabanza,"April 19, 2026",100,2,No,B,https://youtu.be/sWTtNnLQPPw?si=lGsehXc6pKps1w8k
Cuán Grande es Dios,En Espíritu y En Verdad,Adoración,"March 1, 2026",72,3,No,C,https://youtu.be/drFvhcWYS3U?si=KVWDoQ98KI-lzL0p
Portador de tu gloria,Alejandro del Bosque,Alabanza,"March 15, 2026",120,2,No,G,https://youtu.be/yN5T5EjDVCU?si=-LTaLsCkKkW8Hu8e
Libre,Juan Carlos Alvarado,Alabanza,,150,2,No,A,https://youtu.be/Gg6cBoC9sxw?si=24bLjWw9fN4ktL3m
Resplandece,Juan Carlos Alvarado,Alabanza,,150,2,No,D,https://youtu.be/spFkEP8bKpI?si=XroeCUtQcN65rJOz
Ha llegado,Juan Carlos Alvarado,Alabanza,,150,2,No,D,https://youtu.be/t5QWiSo1pkY?si=69XswoppMxb1-PIY
Me Gozaré,Juan Carlos Alvarado,Alabanza,,150,2,No,E-,https://youtu.be/ounksZ96T10?si=HyWiKCvUZ2P8O1jz
Levántate Señor,Juan Carlos Alvarado,Alabanza,,150,2,No,A,https://youtu.be/__O2Ex6PuT8?si=oAYE5ZF_Fm-JvcMk
Yaweh Se Manifestará,Oasis,Adoración,,69,1,No,E-,https://youtu.be/Qem0WSJXLCE?si=0LtrHZiX7z5zdftB
Soy Nueva criatura,Jesús Adrián Romero,Alabanza,,107,1,No,G#-,https://youtu.be/xpQS7QkvmGU?si=NZUFnLCewaQAK6ib
"Suelto ",Saraí Rivera,Adoración,,70,1,No,G,https://youtu.be/4YoJjD2wXoU?si=X40bYB1JyclA3ewg
Eres Fiel,Coalo Zamorano,Alabanza,"March 29, 2026",128,1,No,C,https://youtu.be/O6JrDUyeVV4?si=L6DRKh3nc_lPneh2
Por Quién Eres Tú,Coalo Zamorano,Adoración,"March 29, 2026",113,1,No,C,https://youtu.be/aIReuFgzPRs?si=TOcObiqVepn_oibn
Un Viaje Largo,Marcela Gándara,Adoración,,65,1,No,G,https://youtu.be/vfMnjKSxZJ4?si=1rj6ArW9uF3woV75
Rey Vencedor,Miel San Marcos,Alabanza,"April 19, 2026",150,6,No,A-,https://www.youtube.com/watch?v=huPhM3PnwGY
Viene Ya,Miel San Marcos,Alabanza,,150,1,No,A-,https://youtu.be/y-7FYcf7VGY?si=Du4Q0bW0CvzdykBw
Te seguiré,Yashira Guidini,Adoración,,63,1,No,G,https://youtu.be/bzvp_C13Las?si=gLVMf1uORjIBlYOQ
Haz un Milagro en Mí,Alexis Peña,Adoración,"March 8, 2026",59,2,No,G,https://www.youtube.com/watch?v=D8gxe9m3nxA
"Dios ha Sido Bueno ",Marcos Witt,Adoración,,60,,No,F,https://youtu.be/QlyDLu2tooY?si=xP30Rm-EHbYAASpC
"Pon Aceite en mi vida ",Jaime Murrel,Alabanza,"April 26, 2026",136,2,No,E-,https://www.youtube.com/watch?v=JctR6g0a39E
"Cristo Vive ",Juan Carlos Alvarado,Alabanza,"April 12, 2026",152,1,No,D-,https://www.youtube.com/watch?v=jmcIlHQQg_E
"Jesús ",Montesanto,Adoración,"April 12, 2026",66,2,No,C,https://youtu.be/4qFTOiqTUzY?si=GO5FPX7nCIb0Q5S3
Generación Que Danza,En Espíritu y En Verdad,Alabanza,"April 19, 2026",140,5,No,D,https://www.youtube.com/watch?v=2WZjGOi73qY
"Jesús Mi Rey ",New Wine,Adoración,"June 7, 2026",60,1,No,C,https://www.youtube.com/watch?v=3MfqeBPgdvo&list=RD3MfqeBPgdvo&start_radio=1
Bueno es Dios,CCINT,Alabanza,"April 26, 2026",155,2,No,Eb,https://www.youtube.com/watch?v=udx1Tqqs6a0
"Grita Canta Danza ",CCINT,Alabanza,"April 26, 2026",155,2,No,C-,https://www.youtube.com/watch?v=udx1Tqqs6a0
Yo tengo Gozo,CCINT,Alabanza,"April 26, 2026",155,2,No,E-,https://www.youtube.com/watch?v=udx1Tqqs6a0
Tu Estas Aqui,Jesús Adrián Romero,Adoración,,60,1,No,E,https://youtu.be/k5VVck9ihUs?si=DTzPluc73qc-dCN5
"Eres Fiel ",Cristhian Hidall,Alabanza,"May 10, 2026",150,2,No,"C- ",https://www.youtube.com/watch?v=O6JrDUyeVV4&list=PLFFUlmL5xmATnbG9wr_4SxaQom9Y0PZjk&index=8
Mi Gozo,Barak,Alabanza,,140,3,No,D,https://youtu.be/IxD3JiOo9DY?si=A1lmh1HrkPnIfenz
"Cantos de Júbilo ",Jaime Murrel,Alabanza,"May 10, 2026",126,2,No,E-,https://youtu.be/wchrgDmxzXw?si=Q-rycHgbcLQHt7q2
Desierto en el paraiso,Ebenezer,Alabanza,"June 7, 2026",156,3,No,G-,https://www.youtube.com/watch?v=7amXKjmEDWk
Ven Espíritu Santo,Barak,Adoración,,75,1,No,E-,https://youtu.be/E4llaS5Osc4?si=o-dd0MPXP_Lc3OHw
Él Es Más Grande,Avivamiento,Adoración,,60,1,Yes,A,https://www.youtube.com/watch?v=c_7xEmW8RxM
Que Se LLena Tu Casa,Ingrid Rosario,Alabanza,"June 7, 2026",142,1,No,Eb,https://youtu.be/z0_uuqnLsFI?si=v6LrpLSShgMxSk8u
Yo Te Busco,Marcela Gándara,Adoración,,87,,No,D,https://youtu.be/-IyzUx0fh-w?si=NKLcwsWYbTiuo5md
