Song,Artist,Genre,LastPlay,Tempo,TimesPlayed,To-play,Tone,link
Exáltate,Marcos Witt,Adoración,"January 18, 2026",59,2,No,Bb,https://youtu.be/Vmt7ZfSUN6c?si=vB1k0822rcXotIOe
"La Nube de tu Presencia    ",Vino Nuevo,Alabanza,"March 15, 2026",138,3,No,B,https://www.youtube.com/watch?v=8UfidgAQ6fw
Oh Moradora (Arreglo Propio),Jaime Murrel,Alabanza,"January 25, 2026",115,1,No,C-,https://youtu.be/9d0izkup40g?si=cIfZVWYG4DMAZQa5
No Puedo Callar,En Espíritu y En Verdad,Alabanza,"April 12, 2026",127,3,No,C,https://youtu.be/iBCp3osSBUQ?si=FbNMx9-jOcp_c93a
"Que sería de mi ",Jesús Adrián Romero,Adoración,"January 25, 2026",55,2,No,,https://youtu.be/rB92Hl2dg3c?si=hkyT3V33293GtYlG
"Necesito más de ti ",Ericson Alexander Moreno,Adoración,"January 25, 2026",,2,No,F,https://youtu.be/gyua0wyyUpY?si=W0-1sGgFPoloYzCK
Los Muros Caerán (Proezas),Miel San Marcos,Alabanza,,,5,No,A-,
Bautízame,Miel San Marcos,Alabanza,"February 1, 2026",150,1,No,D-,https://youtu.be/A0_fbqzIHcU?si=cZQwU9juIh9kKN7B
"Invencible ",Miel San Marcos,Alabanza,,150,4,No,D-,
"Haz llover ",Vino Nuevo,Adoración,"May 10, 2026",65,3,No,A-,https://youtu.be/i0NjvZP-xp8?si=1wX6d0g_xNSj0XKP
"En Los Montes, En los Valles",Marcos Witt,Alabanza,"March 1, 2026",107,2,No," G",https://youtu.be/O4bQox2D_Ws?si=zjhpqcbpP2L4Cya0
"Unidos ",Miel San Marcos,Alabanza,"February 8, 2026",150,1,No,B-,https://youtu.be/ps_ZTBE7D-o?si=g3pD6VSCJETiXTMA
Vivo para Cristo,Juan Carlos Alvarado,Alabanza,"March 1, 2026",101,2,No,G,https://youtu.be/N5PiDgurOxY?si=vWlP408TjmBebPpb
"Fiesta en el Desierto ",Montesanto,Alabanza,,,5,No,E,
"Dios imparable ",Marcos Witt,Adoración,"March 29, 2026",,3,No,A,
Danzo en el Río,Miel San Marcos,Alabanza,,,3,No,B-,
Llegó el Tiempo,Miel San Marcos,Alabanza,,,2,No,A-,
Remoliendo (MSM),Miel San Marcos,Alabanza,,,2,No,C-,
Remolineando (Fenrel),Fenrel Monroy,Alabanza,,,2,No,C-,
Grande y Fuerte (Proezas),Miel San Marcos,Alabanza,,,2,No,C-,
Grande y Fuerte (Dios es Real),Miel San Marcos,Alabanza,,,3,No,A-,
Al que está sentado en el Trono G12,Generación 12,Adoración,"February 8, 2026",68,2,No,,https://www.youtube.com/watch?v=yGSLKbpFLAU
Te Daré lo Mejor,Jesús Adrián Romero,Alabanza,,,3,No,E,
"Al Que Está Sentado en el Trono ",Marcos Brunet,Adoración,,,3,No,C-,
"Rompimiento  ",New Wine,Alabanza,"February 8, 2026",157,1,No,D-,https://youtu.be/JnP24Wz5ltM?si=woJEhJPccXmugqq_
"Será llena la tierra ",Marco Barrientos,Alabanza,,,5,No,A-,
Way Maker,,Adoración,,,3,No,,
"Sube, Sube",New Wine,Alabanza,"May 10, 2026",161,3,No,C-,https://www.youtube.com/watch?v=izxfXTvv67U
"Fuego ",Billy Bunster,Alabanza,"April 12, 2026",152,3,No,A-,https://youtu.be/qwEjqenZk_s?si=cLsyEIzmUn87PIn6
Cuán grande es él,Billy Bunster,Alabanza,"April 19, 2026",100,2,No,B,https://youtu.be/sWTtNnLQPPw?si=lGsehXc6pKps1w8k
Cuán Grande es Dios,En Espíritu y En Verdad,Adoración,"March 1, 2026",72,3,No,C,https://youtu.be/drFvhcWYS3U?si=KVWDoQ98KI-lzL0p
Portador de tu gloria,Alejandro del Bosque,Alabanza,"March 15, 2026",120,2,No,,https://youtu.be/yN5T5EjDVCU?si=-LTaLsCkKkW8Hu8e
Libre,Juan Carlos Alvarado,Alabanza,,,2,No,A,
Resplandece,Juan Carlos Alvarado,Alabanza,,,2,No,,
Ha llegado,Juan Carlos Alvarado,Alabanza,,,2,No,,
Me Gozaré,Juan Carlos Alvarado,Alabanza,,,2,No,,
Levántate Señor,Juan Carlos Alvarado,Alabanza,,,2,No,,
Yaweh Se Manifestará,Oasis,Adoración,,,,No,,
Soy Nueva criatura,Jesús Adrián Romero,Alabanza,,,1,No,,
"Suelto ",Saraí Rivera,Adoración,,,,No,,
Eres Fiel,Coalo Zamorano,Alabanza,"March 29, 2026",,,No,,
Por Quién Eres Tú,Coalo Zamorano,Adoración,"March 29, 2026",,,No,,
Un Viaje Largo,Marcela Gándara,Adoración,,,,No,,
Rey Vencedor,Miel San Marcos,Alabanza,"April 19, 2026",150,6,No,,https://www.youtube.com/watch?v=huPhM3PnwGY
Viene Ya,Miel San Marcos,Alabanza,,,,No,,
Te seguiré,Yashira Guidini,Adoración,,,,No,,
Haz un Milagro en Mí,Alexis Peña,Adoración,"March 8, 2026",59,2,No,,https://www.youtube.com/watch?v=D8gxe9m3nxA
"Dios ha Sido Bueno ",Marcos Witt,Adoración,,,,No,,
"Pon Aceite en mi vida ",Jaime Murrel,Alabanza,"April 26, 2026",136,2,No,E-,https://www.youtube.com/watch?v=JctR6g0a39E
"Cristo Vive ",Juan Carlos Alvarado,Alabanza,"April 12, 2026",152,1,No,D-,https://www.youtube.com/watch?v=jmcIlHQQg_E
"Jesús ",Montesanto,Adoración,"April 12, 2026",66,2,No,,https://youtu.be/4qFTOiqTUzY?si=GO5FPX7nCIb0Q5S3
Generación Que Danza,En Espíritu y En Verdad,Alabanza,"April 19, 2026",140,5,No,,https://www.youtube.com/watch?v=2WZjGOi73qY
"Jesús Mi Rey ",New Wine,Adoración,"April 26, 2026",60,1,No,,https://www.youtube.com/watch?v=3MfqeBPgdvo&list=RD3MfqeBPgdvo&start_radio=1
Bueno es Dios,CCINT,Alabanza,"April 26, 2026",155,2,No,Eb,https://www.youtube.com/watch?v=udx1Tqqs6a0
"Grita Canta Danza ",CCINT,Adoración,"April 26, 2026",155,1,No,,https://www.youtube.com/watch?v=udx1Tqqs6a0
Yo tengo Gozo,CCINT,Adoración,"April 26, 2026",155,1,No,,https://www.youtube.com/watch?v=udx1Tqqs6a0
Tu Estas Aqui,Jesús Adrián Romero,Adoración,,60,,No,E,https://youtu.be/k5VVck9ihUs?si=DTzPluc73qc-dCN5
"Eres Fiel ",Cristhian Hidall,Alabanza,"May 10, 2026",150,2,No,"C- ",https://www.youtube.com/watch?v=O6JrDUyeVV4&list=PLFFUlmL5xmATnbG9wr_4SxaQom9Y0PZjk&index=8
Mi Gozo,Barak,Alabanza,,,3,Yes,,https://youtu.be/IxD3JiOo9DY?si=A1lmh1HrkPnIfenz
"Cantos de Júbilo ",Jaime Murrel,Alabanza,"May 10, 2026",126,2,Yes,,https://youtu.be/wchrgDmxzXw?si=Q-rycHgbcLQHt7q2
Paraiso En Desierto,Ebenezer,,,,,No,,
Ven Espíritu Santo,Barak,,,,,No,,
Él Es Más Grande,Avivamiento,Adoración,,,1,Yes,,https://www.youtube.com/watch?v=c_7xEmW8RxM
